10.1039/c7ta08869h,"?? The Royal Society of Chemistry 2017. Zintl compounds are usually rich in composition and thus enable a large degree of manipulation in both electronic and phononic properties for potential thermoelectric applications. This is typified by the AB2C2 compounds (A = Eu, Yb, Ba, Ca; B = Zn, Cd, Mg and C = As, Sb, Bi) that have attracted extensive attention. Among this class of compounds, a few existing works indicate that the high thermoelectric performance in p-type EuZn2Sb2 relies on its relatively high mobility and the reported figures of merit are scattered. This has motivated this study to focus on the thermoelectric transport properties of p-EuZn2-xAgxSb2 (Ag-doped) in a broad carrier concentration range (3.5-14 ?? 1019 cm-3), which reveals a single parabolic band (SPB) behavior in this material and enables insights into the fundamental material parameters determining the thermoelectric performance. This finding has guided a further enhancement to be achieved by a reduction in the lattice thermal conductivity, which is realized by a strong phonon scattering through the Ca/Eu isovalent substitutional defects. The achieved peak figure of merit, zT, was as high as unity, demonstrating EuZn2Sb2 as a promising thermoelectric material.",1
10.1007/s11664-015-4303-6,"?? 2015, The Minerals, Metals & Materials Society. p-Type Ca1ƒ??xEuxZn2Sb2 (0 ƒ?? x ƒ?? 1) polycrystalline specimens were prepared by direct solid-state reaction of elements followed by appropriate annealing, grinding and spark plasma sintering for densification. The thermoelectric (TE) properties of Zintl phase Ca1ƒ??xEuxZn2Sb2 were investigated by measuring resistivity, Seebeck coefficient and thermal conductivity from 300 K to 720 K. All Eu doped specimens show more than 50% decrease in electrical resistivity, while their Seebeck coefficient value only slightly decrease as compared to CaZn2Sb2. Furthermore, a reduction of thermal conductivity was achieved by the additional phonon scatterings of Eu dopants. The cationic substitution of rare earth element Eu in the Ca-site significantly increased the thermoelectric dimensionless figure of merit for all Europium substituted samples. Within this series, EuZn2Sb2 shows a good thermoelectric property with a maximum zT value of 0.98 at 720 K.",1
10.1016/s1002-0721(12)60398-6,"Zintl phase compounds AM2Sb2 (A=Ca, Sr, Ba, Eu, Yb; M=Zn, Cd) is a new class of promising thermoelectrics owing to their intrinsic features in electronic and crystal structure, such as a small or even disappeared band-gap, large density-of-states at the Fermi level, covalently bonded network of M-Sb, as well as the layered stacking by cations A 2+ and anionic slabs (M2Sb2)2-. In addition, the rich solid-state chemistry of Zintl phase allows structural modification and chemical substitution to adjust the fundamental transport parameters (carrier concentration, mobility, effective mass, electronic and lattice thermal conductivity) for improving the thermoelectric performance. In the present review, the recent advances in synthesis and thermoelectric characterization of title compounds AM2Sb2 were presented, and the effects of alloying or substitution for sites A, M and Sb on the electrical and thermal transport were emphasized. The structural disorder yielded by the incorporation of multiple ions significantly increased the thermoelectric figure of merit mainly resulted from the reduction of thermal conductivity without disrupting the carrier transport region in substance. Therefore, alloying or substitution has been a feasible and common route utilized to enhance thermoelectric properties in these Zintl phase compounds, especially for YbZn0.4Cd1.6Sb2 (ZT 700 K=1.26), EuZn1.8Cd0.2Sb2 (ZT650 K=1.06), and YbCd1.85Mn0.15Sb 2 (ZT650 K=1.14). ?? 2013 The Chinese Society of Rare Earths.",1
10.1039/b916346h,"The thermoelectric performance of EuZn2Sb2 and EuCd2Sb2 was optimized by mixed occupation of the transition metal position. Samples in the solid solution Eu(Zn 1-xCdx)2Sb2 with the CaAl 2Si2-type crystal structure (space group Pm1) were prepared from the elements for compositions with x = 0, 0.1, 0.3, 0.5 and 1. The thermoelectric properties were investigated after densification of the products by spark plasma sintering (SPS). The samples show low electrical resistivity, high thermopower and a low lattice thermoconductivity. The highest ZT value of 1.06 at 650 K is obtained for x = 0.1. ?? 2010 The Royal Society of Chemistry.",1
10.1002/aenm.201502269,"?? 2016 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim. Despite the unfavorable band structure with twofold degeneracy at the valence band maximum, MgAgSb is still an excellent p-type thermoelectric material for applications near room temperature. The intrinsically weak electron-phonon coupling, reflected by the low deformation potential Edef ƒ?? 6.3 eV, plays a crucial role in the relatively high power factor of MgAgSb. More importantly, Li is successfully doped into Mg site to tune the carrier concentration, leading to the resistivity reduction by a factor of 3 and a consequent increase in power factor by ƒ??30% at 300 K. Low lattice thermal conductivity can be simultaneously achieved by all-scale hierarchical phonon scattering architecture including high density of dislocations and nanoscale stacking faults, nanoinclusions, and multiscale grain boundaries. Collectively, much higher average power factor ƒ??25 ?¬W cm-1 K-2 with a high average ZT ƒ?? 1.1 from 300 to 548 K is achieved for 0.01 Li doping, which would result in a high output power density ƒ??1.56 W cm-2 and leg efficiency ƒ??9.2% by calculations assuming cold-side temperature Tc = 323 K, hot-side temperature Th = 548 K, and leg length = 2 mm.",1
10.1016/j.nanoen.2014.11.027,"?? 2014 Elsevier Ltd. MgAg0.97Sb0.99 was found to be potentially a new class of thermoelectric materials with ZT values above 1 in the temperature from 100 to 300?øC. In this report, we systematically studied the effect of Na doping in Mg, Mg1-xNaxAg0.97Sb0.99, on the thermoelectric properties and found Na was effective to increase the carrier concentration and power factor, especially below 180?øC, which led to higher ZT values, a better self-compatibility factor, and ultimately a higher output power at the optimal Na concentration of x=0.005-0.0075.",1
10.1016/j.actamat.2015.09.033,"?? 2015 Acta Materialia Inc. We report the effect of Sb content in MgAg0.97Sbx (x = 0.99, 0.9925, 0.995, and 1.00) on output power and leg efficiency. Due to the doubling of carrier concentration with increasing the Sb content, power factor is enhanced around 20% over the whole temperature range. Simultaneously, the average thermoelectric figure of merit (ZT) is even enhanced a little in spite of the increased corresponding thermal conductivity. We further calculated the engineering power factor (PF)eng, output power, engineering figure of merit (ZT)eng and leg efficiency by taking into account of the Thomson effect. Assuming Tc = 300 K and Th = 548 K, leg length ƒ?¬2 mm, an output power of ƒ?¬1.77 W cm-2 and leg efficiency ?ú of ƒ?¬10.1% are finally obtained for the optimized composition MgAg0.97Sb0.995.",1
10.1016/j.actamat.2015.01.018,"?? 2015 Acta Materialia Inc. Published by Elsevier Ltd. All rights reserved. Recently, MgAgSb was discovered to have good thermoelectric properties. In this paper, we intend to substitute a small amount of Ag by Cu to make MgAg0.97-xCuxSb0.99 (x = 0, 0.003, 0.007, and 0.01) thermoelectric materials aiming to decrease the lattice thermal conductivity without sacrificing the power factor. The results showed that Cu substitution not only reduced the thermal conductivity, but also improved the power factor, consequently led to improved ZT values. Among the MgAg0.97-xCuxSb0.99 samples, MgAg0.963Cu0.007Sb0.99 showed the highest ZT values of 0.95 at room temperature and 1.32 at 250 ?øC. In addition, the MgAgSb-based samples displayed much better self-compatibility factors than Bi0.4Sb1.6Te3. The effect of grain orientation on the anisotropy of thermoelectric properties of MgAg0.97Sb0.99 has also been studied.",1
10.1002/adfm.201503022,"?? 2015 Wiley-VCH Verlag GmbH and Co. KGaA, Weinheim. Thermoelectric devices can directly convert thermal energy to electricity or vice versa with the efficiency being determined by the materials' dimensionless figure of merit (ZT). Since the revival of interests in the last decades, substantial achievements have been reached in search of high-performance thermoelectric materials, especially in the high temperature regime. In the near-room-temperature regime, MgAgSb-based materials are recently obtained with ZT ƒ?? 0.9 at 300 K and ƒ??1.4 at 525 K, as well as a record high energy conversion efficiency of 8.5%. However, the underlying mechanism responsible for the performance in this family of materials has been poorly understood. Here, based on structure refinements, scanning transmission electron microscopy (STEM), NMR experiments, and density function theory (DFT) calculations, unique silver and magnesium ion migrations in ?ñ-MgAg0.97Sb0.99 are disclosed. It is revealed that the local atomic disorders induced by concurrent ion migrations are the major origin of the low thermal conductivity and play an important role in the good ZT in MgAgSb-based materials. The underlying mechanism responsible for the high thermoelectric performance in ?ñ-MgAgSb-based materials is disclosed. Based on density function theory calculations and experimental characterizations, concurrent silver and magnesium ion migrations are revealed in ?ñ-MgAgSb. This is believed to be the origin of the low thermal conductivity in ?ñ-MgAgSb-based materials and plays an important role in the good figure of merit of these materials.",1
10.1038/ncomms10287,"High-efficiency thermoelectric materials require a high conductivity. It is known that a large number of degenerate band valleys offers many conducting channels for improving the conductivity without detrimental effects on the other properties explicitly, and therefore, increases thermoelectric performance. In addition to the strategy of converging different bands, many semiconductors provide an inherent band nestification, equally enabling a large number of effective band valley degeneracy. Here we show as an example that a simple elemental semiconductor, tellurium, exhibits a high thermoelectric figure of merit of unity, not only demonstrating the concept but also filling up the high performance gap from 300 to 700 K for elemental thermoelectrics. The concept used here should be applicable in general for thermoelectrics with similar band features.",1
10.1039/c7qi00138j,"?? 2017 the Partner Organisations. As one of the focus areas, phonon scattering by boundary interfaces enables an effective reduction in the lattice thermal conductivity for improving thermoelectrics. Introduction of boundary interfaces is expected through precipitation by low-temperature processing of over-saturated solids or melts. In this study, a single step of both doping and precipitation is achieved in elemental tellurium with a few percent of Sb, leading to a high thermoelectric figure of merit, zT, of 0.9. This is quite comparable with the As-doped Te reported previously, but without involving any toxic elements. Evolutionarily, Sb-substitution of Te within 0.5% sufficiently increases the hole concentration leading to an optimized thermoelectric power factor, while higher concentration of Sb introduces Sb2Te3 precipitates, enabling an effective phonon scattering for a reduced lattice thermal conductivity by ƒ?¬25%. This study further demonstrates tellurium as a promising elemental thermoelectric material from 300 to 700 K.",1
10.1016/0022-3697(88)90182-5,"A thermoelectric characterization of samples of bismuth telluride of both n- and p -type is carried out, as a function of stoichiometric deviation. Highly pure samples were prepared from single crystalline ingots, using an annealing saturation technique at temperatures between 560?øC and the melting point 585.5?øC. With the help of measurements of electrical and thermal conductivities, and Seebeck coefficients at room temperature, a sharp maximum in the figure of merit Z was determined. For n-type: Z = 2.9 10-3 K-1. ForP-type: Z = 2.3 10-3K-1 These values of Z correspond to an increase of nearly 50% from the usual values of Z for pure Bi2 Te3 samples. ?? 1988.",1
